ID,Character,Gender,Alive,Title,Forename,Surname,Old Surname,Alias,Book,Page,Chapter Name,POV
249,Tya Lannister,F,D,,Tya,Lannister,,,A Game of Thrones,469,Eddard XII,Eddard Stark
250,Gowen Baratheon,M,D,,Gowen,Baratheon,,,A Game of Thrones,469,Eddard XII,Eddard Stark
251,Khal Ogo,M,D,Khal,Ogo,,,,A Game of Thrones,475,Daenerys V,Daenerys Targaryen
252,Khalakka Fogo,M,D,Khalakka,Fogo,,,,A Game of Thrones,475,Daenerys V,Daenerys Targaryen
253,Khal Jommo,M,A,Khal,Jommo,,,,A Game of Thrones,475,Daenerys V,Daenerys Targaryen
254,Ser Preston Greenfield,M,D,Ser,Preston,Greenfield,,,A Game of Thrones,485,Eddard XIII,Eddard Stark
255,Ser Kevan Lannister,M,D,Ser,Kevan,Lannister,,,A Game of Thrones,490,Eddard XIII,Eddard Stark
256,Captain Qos,M,A,Captain,Qos,,,,A Game of Thrones,492,Eddard XIII,Eddard Stark
257,Septon Cellador,M,A,Septon,Cellador,,,,A Game of Thrones,447,Eddard XI,Eddard Stark
258,Othell Yarwyck,M,A,,Othell,Yarwyck,,,A Game of Thrones,448,Eddard XI,Eddard Stark
259,Borcas,M,A,,Borcas,,,,A Game of Thrones,500,Jon VI,Jon Snow
260,Dickon Tarly,M,A,,Dickon,Tarly,,,A Game of Thrones,502,Jon VI,Jon Snow
261,Dywen,M,U,,Dywen,,,,A Game of Thrones,504,Jon VI,Jon Snow
262,Ser Mandon Moore,M,D,Ser,Mandon,Moore,,,A Game of Thrones,532,Sansa IV,Sansa Stark
263,Othor,M,D,,Othor,,,,A Game of Thrones,532,Sansa IV,Sansa Stark
264,Lady Shella,F,F,Lady,Shella,,,,A Game of Thrones,532,Sansa IV,Sansa Stark
265,The Rainbow Knight,M,F,,,,,The Rainbow Knight,A Game of Thrones,532,Sansa IV,Sansa Stark
266,Jafer Flowers,M,D,,Jafer,Flowers,,,A Game of Thrones,533,Jon VII,Jon Snow
267,Bass,M,U,,Bass,,,,A Game of Thrones,533,Jon VII,Jon Snow
268,Hake,M,D,,Hake,,,,A Game of Thrones,538,Jon VII,Jon Snow
269,Ketter,M,U,,Ketter,,,,A Game of Thrones,538,Jon VII,Jon Snow
270,Lord Rickard Karstark,M,D,Lord,Rickard,Karstark,,,A Game of Thrones,549,Bran VI,Bran Stark
271,Harrion Karstark,M,A,,Harrion,Karstark,,,A Game of Thrones,549,Bran VI,Bran Stark
272,Eddard Karstark,M,D,,Eddard,Karstark,,,A Game of Thrones,549,Bran VI,Bran Stark
273,Torrhen Karstark,M,D,,Torrhen,Karstark,,,A Game of Thrones,549,Bran VI,Bran Stark
274,Lord Medger Cerwyn,M,D,Lord,Medger,Cerwyn,,,A Game of Thrones,550,Bran VI,Bran Stark
275,Lord Robin Flint,M,D,Lord,Robin,Flint,,,A Game of Thrones,551,Bran VI,Bran Stark
276,Robett Glover,M,A,,Robett,Glover,,,A Game of Thrones,554,Bran VI,Bran Stark
277,Lord Halys Hornwood,M,D,Lord,Halys,Hornwood,,,A Game of Thrones,555,Bran VI,Bran Stark
278,"Lord Jon Umber, Greatjon",M,A,Lord,Jon,Umber,,Greatjon,A Game of Thrones,555,Bran VI,Bran Stark
279,Captain Byan Votyris,M,A,Captain,Byan,Votyris,,,A Game of Thrones,565,Daenerys VI,Daenerys Targaryen
280,Quaro,M,D,,Quaro,,,,A Game of Thrones,568,Daenerys VI,Daenerys Targaryen
281,Rakharo,M,A,,Rakharo,,,,A Game of Thrones,568,Daenerys VI,Daenerys Targaryen
282,Khal Bharbo,M,D,Khal,Bharbo,,,,A Game of Thrones,574,Daenerys VI,Daenerys Targaryen
283,Ser Wylis Manderly,M,A,Ser,Wylis,Manderly,,,A Game of Thrones,575,Catelyn VIII,Catelyn Tully
284,Ser Wendel Manderly,M,D,Ser,Wendel,Manderly,,,A Game of Thrones,575,Catelyn VIII,Catelyn Tully
285,"Chella, Daughter of Cheyk",F,A,,Chella,,,Daughter of Cheyk,A Game of Thrones,586,Tyrion VII,Tyrion Lannister
286,"Ulf, Son of Umar",M,D,,Ulf,,,Son of Umar,A Game of Thrones,586,Tyrion VII,Tyrion Lannister
287,Umar,M,U,,Umar,,,,A Game of Thrones,586,Tyrion VII,Tyrion Lannister
288,"Timett, Son of Timett",M,A,,Timett,,,Son of Timett,A Game of Thrones,587,Tyrion VII,Tyrion Lannister
289,Timett,M,U,,Timett,,,,A Game of Thrones,587,Tyrion VII,Tyrion Lannister
290,Ser Flement Brax,M,A,Ser,Flement,Brax,,,A Game of Thrones,588,Tyrion VII,Tyrion Lannister
291,Lord Roland Crakehall,M,A,Lord,Roland,Crakehall,,,A Game of Thrones,589,Tyrion VII,Tyrion Lannister
292,Lord Tytos Lannister,M,D,Lord,Tytos,Lannister,,,A Game of Thrones,594,Tyrion VII,Tyrion Lannister
293,Ser Addam Marbrand,M,A,Ser,Addam,Marbrand,,,A Game of Thrones,594,Tyrion VII,Tyrion Lannister
294,Lord Gyles Rosby,M,D,Lord,Gyles,Rosby,,,A Game of Thrones,597,Sansa V,Sansa Stark
295,Ser Dontos Hollard,M,D,Ser,Dontos,Hollard,,,A Game of Thrones,597,Sansa V,Sansa Stark
296,Ser Stevron Frey,M,D,Ser,Stevron,Frey,,,A Game of Thrones,598,Sansa V,Sansa Stark
297,Lord Tytos Blackwood,M,A,Lord,Tytos,Blackwood,,,A Game of Thrones,598,Sansa V,Sansa Stark
298,Prince Doran Martell,M,A,Prince,Doran,Martell,,,A Game of Thrones,598,Sansa V,Sansa Stark
299,Prince Lewyn Martell,M,D,Prince,Lewyn,Martell,,,A Game of Thrones,600,Sansa V,Sansa Stark
300,"Princess Rhaenys Targaryen, Rhaegar's daughter",F,D,Princess,Rhaenys,Targaryen,,Rhaegar's daughter,A Game of Thrones,613,Eddard XV,Eddard Stark
301,Ser Perwyn Frey,M,A,Ser,Perwyn,Frey,,,A Game of Thrones,620,Catelyn IX,Catelyn Tully
302,Ryger Rivers,M,U,,Ryger,Rivers,,,A Game of Thrones,625,Catelyn IX,Catelyn Tully
303,Olyvar Frey,M,U,,Olyvar,Frey,,,A Game of Thrones,626,Catelyn IX,Catelyn Tully
304,Elmar Frey,M,U,,Elmar,Frey,,,A Game of Thrones,626,Catelyn IX,Catelyn Tully
305,Ser Endrew Tarth,M,D,Ser,Endrew,Tarth,,,A Game of Thrones,633,Jon VIII,Jon Snow
306,"Pate, Of the Night's Watch",M,A,,Pate,,,Of the Night's Watch,A Game of Thrones,634,Jon VIII,Jon Snow
307,Rudge,M,U,,Rudge,,,,A Game of Thrones,635,Jon VIII,Jon Snow
308,"King Harren Hoare, The Black",M,D,King,Harren,Hoare,,The Black,A Game of Thrones,638,Jon VIII,Jon Snow
309,Jhogo,M,A,,Jhogo,,,,A Game of Thrones,643,Daenerys VII,Daenerys Targaryen
310,Mago,M,U,,Mago,,,,A Game of Thrones,646,Daenerys VII,Daenerys Targaryen
311,Ko Jhaqo,M,A,Ko,Jhaqo,,,,A Game of Thrones,646,Daenerys VII,Daenerys Targaryen
312,Mirri Maz Duur,F,D,,Mirri,Maz Duur,,,A Game of Thrones,647,Daenerys VII,Daenerys Targaryen
313,"Archmaester Marwyn, Marwyn the Mage",M,A,Archmaester,Marwyn,,,Marwyn the Mage,A Game of Thrones,648,Daenerys VII,Daenerys Targaryen
314,Lord Leo Lefford,M,D,Lord,Leo,Lefford,,,A Game of Thrones,652,Tyrion VIII,Tyrion Lannister
315,Podrick Payne,M,U,,Podrick,Payne,,,A Game of Thrones,654,Tyrion VIII,Tyrion Lannister
316,Shae,F,D,,Shae,,,,A Game of Thrones,655,Tyrion VIII,Tyrion Lannister
317,Lord Lewys Lydden,M,U,Lord,Lewys,Lydden,,,A Game of Thrones,660,Tyrion VIII,Tyrion Lannister
318,Lord Serrett,M,U,Lord,,Serrett,,,A Game of Thrones,660,Tyrion VIII,Tyrion Lannister
319,"Jon Umber, Smalljon",M,D,,Jon,Umber,,Smalljon,A Game of Thrones,673,Catelyn X,Catelyn Tully
320,Daryn Hornwood,M,D,,Daryn,Hornwood,,,A Game of Thrones,673,Catelyn X,Catelyn Tully
321,Dacey Mormont,F,D,,Dacey,Mormont,,,A Game of Thrones,673,Catelyn X,Catelyn Tully
322,Lord Gawen Westerling,M,A,Lord,Gawen,Westerling,,,A Game of Thrones,677,Catelyn X,Catelyn Tully
323,Lord Quenten Banefort,M,A,Lord,Quenten,Banefort,,,A Game of Thrones,677,Catelyn X,Catelyn Tully
324,Ser Garth Greenfield,M,A,Ser,Garth,Greenfield,,,A Game of Thrones,677,Catelyn X,Catelyn Tully
325,Lord Regenard Estren,M,A,Lord,Regenard,Estren,,,A Game of Thrones,677,Catelyn X,Catelyn Tully
326,Ser Tytos Brax,M,A,Ser,Tytos,Brax,,,A Game of Thrones,677,Catelyn X,Catelyn Tully
327,"Mallor, The Dornishman",M,U,,Mallor,,,The Dornishman,A Game of Thrones,677,Catelyn X,Catelyn Tully
328,Eroeh,F,D,,Eroeh,,,,A Game of Thrones,680,Daenerys VIII,Daenerys Targaryen
329,Ko Pono,M,A,Ko,Pono,,,,A Game of Thrones,683,Daenerys VIII,Daenerys Targaryen
330,Buu,,U,,Buu,,,,A Game of Thrones,698,Arya V,Arya Stark
331,"Symeon, Star-Eyes",M,F,,Symeon,,,Star-Eyes,A Game of Thrones,706,Bran VII,Bran Stark
332,King Jon Stark,M,D,King,Jon,Stark,,,A Game of Thrones,708,Bran VII,Bran Stark
333,King Rickard Stark,M,D,King,Rickard,Stark,,,A Game of Thrones,708,Bran VII,Bran Stark
334,King Theon Stark,M,D,King,Theon,Stark,,,A Game of Thrones,708,Bran VII,Bran Stark
335,"King Brandon Stark, The Shipwright",M,D,King,Brandon,Stark,,The Shipwright,A Game of Thrones,709,Bran VII,Bran Stark
336,"King Brandon Stark, The Burner",M,D,King,Brandon,Stark,,The Burner,A Game of Thrones,709,Bran VII,Bran Stark
337,King Rodrik Stark,M,D,King,Rodrik,Stark,,,A Game of Thrones,709,Bran VII,Bran Stark
338,"King Torrhen Stark, The King who Knelt",M,D,King,Torrhen,Stark,,The King who Knelt,A Game of Thrones,709,Bran VII,Bran Stark
339,Lord Cregan Stark,M,D,Lord,Cregan,Stark,,,A Game of Thrones,709,Bran VII,Bran Stark
340,Ser Harys Swyft,M,A,Ser,Harys,Swyft,,,A Game of Thrones,738,Tyrion IX,Tyrion Lannister
341,Lord Andros Brax,M,D,Lord,Andros,Brax,,,A Game of Thrones,739,Tyrion IX,Tyrion Lannister
342,Ser Forley Prester,M,A,Ser,Forley,Prester,,,A Game of Thrones,740,Tyrion IX,Tyrion Lannister
343,Vargo Hoat,M,D,,Vargo,Hoat,,,A Game of Thrones,744,Tyrion IX,Tyrion Lannister
344,Ser Amory Lorch,M,D,Ser,Amory,Lorch,,,A Game of Thrones,744,Tyrion IX,Tyrion Lannister
345,Maester Vyman,M,A,Maester,Vyman,,,,A Game of Thrones,763,Catelyn XI,Catelyn Tully
346,Bethany Rowan (Redwyne),F,A,,Bethany,Rowan,Redwyne,,A Game of Thrones,764,Catelyn XI,Catelyn Tully
347,Lord Orys Baratheon,M,D,Lord,Orys,Baratheon,,,A Game of Thrones,783,Appendix,N/A
348,"King Argilac Durrandon, The Arrogant",M,D,King,Argilac,Durrandon,,The Arrogant,A Game of Thrones,783,Appendix,N/A
349,Lady Shireen Baratheon,F,A,Lady,Shireen,Baratheon,,,A Game of Thrones,783,Appendix,N/A
350,Tyrek Lannister,M,U,,Tyrek,Lannister,,,A Game of Thrones,784,Appendix,N/A
351,Lady Joanna Lannister,F,D,Lady,Joanna,Lannister,,,A Game of Thrones,787,Appendix,N/A
352,Dorna Lannister (Swyft),F,A,,Dorna,Lannister,Swyft,,A Game of Thrones,787,Appendix,N/A
353,Willem Lannister,M,D,,Willem,Lannister,,,A Game of Thrones,787,Appendix,N/A
354,Martyn Lannister,M,A,,Martyn,Lannister,,,A Game of Thrones,787,Appendix,N/A
355,Janei Lannister,F,A,,Janei,Lannister,,,A Game of Thrones,787,Appendix,N/A
356,Genna Frey (Lannister),F,A,,Genna,Frey,Lannister,,A Game of Thrones,787,Appendix,N/A
357,Ser Cleos Frey,M,D,Ser,Cleos,Frey,,,A Game of Thrones,787,Appendix,N/A
358,Tion Frey,M,D,,Tion,Frey,,,A Game of Thrones,787,Appendix,N/A
359,"Ser Tygett Lannister, Tyg",M,D,Ser,Tygett,Lannister,,Tyg,A Game of Thrones,788,Appendix,N/A
360,Darlessa Marbrand,F,A,,Darlessa,Marbrand,,,A Game of Thrones,788,Appendix,N/A
361,"Gerion Lannister, Gery",M,U,,Gerion,Lannister,,Gery,A Game of Thrones,788,Appendix,N/A
362,Joy Hill,F,A,,Joy,Hill,,,A Game of Thrones,788,Appendix,N/A
363,Ser Stafford Lannister,M,D,Ser,Stafford,Lannister,,,A Game of Thrones,788,Appendix,N/A
364,Cerenna Lannister,F,A,,Cerenna,Lannister,,,A Game of Thrones,788,Appendix,N/A
365,Myrielle Lannister,F,A,,Myrielle,Lannister,,,A Game of Thrones,788,Appendix,N/A
366,Ser Daven Lannister,M,A,Ser,Daven,Lannister,,,A Game of Thrones,788,Appendix,N/A
367,Maester Creylen,M,A,Maester,Creylen,,,,A Game of Thrones,788,Appendix,N/A
368,Lady Jeyne Arryn (Royce),F,D,Lady,Jeyne,Arryn,Royce,,A Game of Thrones,789,Appendix,N/A
369,Lady Rowena Arryn,F,D,Lady,Rowena,Arryn,,,A Game of Thrones,789,Appendix,N/A
370,"King Harwyn Hoare, Hardhand",M,D,King,Harwyn,Hoare,,Hardhand,A Game of Thrones,791,Appendix,N/A
371,"King Arrec Durrandon, The Storm King",M,D,King,Arrec,Durrandon,,The Storm King,A Game of Thrones,791,Appendix,N/A
372,Edmyn Tully,M,D,,Edmyn,Tully,,,A Game of Thrones,791,Appendix,N/A
373,Lady Minisa Tully (Whent),F,D,Lady,Minisa,Tully,Whent,,A Game of Thrones,791,Appendix,N/A
374,Ser Desmond Grell,M,A,Ser,Desmond,Grell,,,A Game of Thrones,791,Appendix,N/A
375,Robin Ryger,M,A,,Robin,Ryger,,,A Game of Thrones,791,Appendix,N/A
376,Utherydes Wayn,M,A,,Utherydes,Wayn,,,A Game of Thrones,792,Appendix,N/A
377,"King Garth Gardener, Greenhand",M,D,King,Garth,Gardener,,Greenhand,A Game of Thrones,793,Appendix,N/A
378,Lord Harlen Tyrell,M,D,Lord,Harlen,Tyrell,,,A Game of Thrones,793,Appendix,N/A
379,Lady Alerie Tyrell (Hightower),F,A,Lady,Alerie,Tyrell,Hightower,,A Game of Thrones,793,Appendix,N/A
380,Willas Tyrell,M,A,,Willas,Tyrell,,,A Game of Thrones,793,Appendix,N/A
381,"Ser Garlan Tyrell, The Gallant",M,A,Ser,Garlan,Tyrell,,The Gallant,A Game of Thrones,793,Appendix,N/A
382,"Lady Olenna Tyrell (Redwyne), Queen of Thorns",F,A,Lady,Olenna,Tyrell,Redwyne,Queen of Thorns,A Game of Thrones,793,Appendix,N/A
383,Lady Mina Redwyne (Tyrell),F,A,Lady,Mina,Redwyne,Tyrell,,A Game of Thrones,793,Appendix,N/A
384,Lord Paxter Redwyne,M,A,Lord,Paxter,Redwyne,,,A Game of Thrones,793,Appendix,N/A
385,Lady Janna Fossoway (Tyrell),F,A,Lady,Janna,Fossoway,Tyrell,,A Game of Thrones,793,Appendix,N/A
386,"Garth Tyrell, The Gross",M,D,,Garth,Tyrell,,The Gross,A Game of Thrones,793,Appendix,N/A
387,Garse Flowers,M,A,,Garse,Flowers,,,A Game of Thrones,794,Appendix,N/A
388,Garrett Flowers,M,A,,Garrett,Flowers,,,A Game of Thrones,794,Appendix,N/A
389,Ser Moryn Tyrell,M,A,Ser,Moryn,Tyrell,,,A Game of Thrones,794,Appendix,N/A
390,Maester Gormon (Tyrell),M,A,Maester,Gormon,,Tyrell,,A Game of Thrones,794,Appendix,N/A
391,Maester Lomys,M,A,Maester,Lomys,,,,A Game of Thrones,794,Appendix,N/A
392,Ser Vortimer Crane,M,A,Ser,Vortimer,Crane,,,A Game of Thrones,794,Appendix,N/A
393,Desmera Redwyne,F,A,,Desmera,Redwyne,,,A Game of Thrones,794,Appendix,N/A
394,Lady Arwyn Oakheart,F,A,Lady,Arwyn,Oakheart,,,A Game of Thrones,794,Appendix,N/A
395,Lord Leyton Hightower,M,A,Lord,Leyton,Hightower,,,A Game of Thrones,794,Appendix,N/A
396,Ser Jon Fossoway,M,A,Ser,Jon,Fossoway,,,A Game of Thrones,794,Appendix,N/A
397,The Grey King,M,U,,,,,The Grey King,A Game of Thrones,795,Appendix,N/A
398,"King Urron Greyiron, Redhand",M,D,King,Urron,Greyiron,,Redhand,A Game of Thrones,795,Appendix,N/A
399,King Qhored Hoare,M,D,King,Qhored,Hoare,,,A Game of Thrones,795,Appendix,N/A
400,Lord Vickon Greyjoy,M,D,Lord,Vickon,Greyjoy,,,A Game of Thrones,796,Appendix,N/A
401,Lady Alannys Greyjoy (Harlaw),F,A,Lady,Alannys,Greyjoy,Harlaw,,A Game of Thrones,796,Appendix,N/A
402,Rodrik Greyjoy,M,D,,Rodrik,Greyjoy,,,A Game of Thrones,796,Appendix,N/A
403,Maron Greyjoy,M,D,,Maron,Greyjoy,,,A Game of Thrones,796,Appendix,N/A
404,Asha Greyjoy,F,A,,Asha,Greyjoy,,,A Game of Thrones,796,Appendix,N/A
405,"Euron Greyjoy, Crow's Eye",M,A,,Euron,Greyjoy,,Crow's Eye,A Game of Thrones,796,Appendix,N/A
406,Victarion Greyjoy,M,A,,Victarion,Greyjoy,,,A Game of Thrones,796,Appendix,N/A
407,"Aeron Greyjoy, Damphair",M,U,,Aeron,Greyjoy,,Damphair,A Game of Thrones,796,Appendix,N/A
408,Queen Nymeria,F,D,Queen,Nymeria,,,,A Game of Thrones,797,Appendix,N/A
409,Lord Mors Martell,M,D,Lord,Mors,Martell,,,A Game of Thrones,797,Appendix,N/A
410,"King Daeron II Targaryen, The Good",M,D,King,Daeron,Targaryen,,The Good,A Game of Thrones,797,Appendix,N/A
411,Princess Myriah Martell,F,A,Princess,Myriah,Martell,,,A Game of Thrones,797,Appendix,N/A
412,"Lady Mellario Martell, of Norvos",F,A,Lady,Mellario,Martell,,of Norvos,A Game of Thrones,797,Appendix,N/A
413,Princess Arianne Martell,F,A,Princess,Arianne,Martell,,,A Game of Thrones,797,Appendix,N/A
414,Prince Quentyn Martell,M,D,Prince,Quentyn,Martell,,,A Game of Thrones,797,Appendix,N/A
415,Prince Trystane Martell,M,A,Prince,Trystane,Martell,,,A Game of Thrones,797,Appendix,N/A
416,"Prince Aegon Targaryen, Son of Rhaegar Targaryen",M,U,Prince,Aegon,Targaryen,,Son of Rhaegar Targaryen,A Game of Thrones,798,Appendix,N/A
417,Prince Oberyn Martell,M,D,Prince,Oberyn,Martell,,,A Game of Thrones,798,Appendix,N/A
418,Captain Areo Hotah,M,A,Captain,Areo,Hotah,,,A Game of Thrones,798,Appendix,N/A
419,Maester Caleotte,M,A,Maester,Caleotte,,,,A Game of Thrones,798,Appendix,N/A
420,"Lord Edric Dayne, Ned",M,U,Lord,Edric,Dayne,,Ned,A Game of Thrones,798,Appendix,N/A
421,"Visenya Targaryen, Wife of Aegon I",F,D,,Visenya,Targaryen,,Wife of Aegon I,A Game of Thrones,799,Appendix,N/A
422,"Rhaenys Targaryen, Wife of Aegon I",F,D,,Rhaenys,Targaryen,,Wife of Aegon I,A Game of Thrones,799,Appendix,N/A
423,Aenys Targaryen,M,D,,Aenys,Targaryen,,,A Game of Thrones,799,Appendix,N/A
424,"King Jaehaerys I Targaryen, The Old King/The Conciliator",M,D,King,Jaehaerys,Targaryen,,The Old King/The Conciliator,A Game of Thrones,799,Appendix,N/A
425,King Viserys I Targaryen,M,D,King,Viserys,Targaryen,,,A Game of Thrones,800,Appendix,N/A
426,"King Aegon II Targaryen, The Usurper",M,D,King,Aegon,Targaryen,,The Usurper,A Game of Thrones,800,Appendix,N/A
427,Rhaenyra Targaryen,F,D,,Rhaenyra,Targaryen,,,A Game of Thrones,800,Appendix,N/A
428,"King Daeron I Targaryen, The Young Dragon/The Boy King",M,D,King,Daeron,Targaryen,,The Young Dragon/The Boy King,A Game of Thrones,800,Appendix,N/A
429,King Viserys II Targaryen,M,D,King,Viserys,Targaryen,,,A Game of Thrones,800,Appendix,N/A
430,King Aerys I Targaryen,M,D,King,Aerys,Targaryen,,,A Game of Thrones,800,Appendix,N/A
431,"Queen Rhaella Targaryen, Wife of Aerys II",F,D,Queen,Rhaella,Targaryen,,Wife of Aerys II,A Game of Thrones,800,Appendix,N/A
432,Maester Cressen,M,D,Maester,Cressen,,,,A Clash of Kings,1,Prologue,Maester Cressen
433,Maester Pylos,M,A,Maester,Pylos,,,,A Clash of Kings,1,Prologue,Maester Cressen
434,Patchface,M,A,,Patchface,,,,A Clash of Kings,2,Prologue,Maester Cressen
435,Dalla,F,A,,Dalla,,,,A Clash of Kings,4,Prologue,Maester Cressen
436,Matrice,F,A,,Matrice,,,,A Clash of Kings,4,Prologue,Maester Cressen
437,Lord Steffon Baratheon,M,D,Lord,Steffon,Baratheon,,,A Clash of Kings,6,Prologue,Maester Cressen
438,Jommy,M,U,,Jommy,,,,A Clash of Kings,6,Prologue,Maester Cressen
439,Ser Harbert,M,D,Ser,Harbert,,,,A Clash of Kings,7,Prologue,Maester Cressen
440,"Ser Davos Seaworth, The Onion Knight",M,A,Ser,Davos,Seaworth,,The Onion Knight,A Clash of Kings,7,Prologue,Maester Cressen
441,Lord Gulian Swann,M,A,Lord,Gulian,Swann,,,A Clash of Kings,9,Prologue,Maester Cressen
442,Salladhor Saan,M,A,,Salladhor,Saan,,,A Clash of Kings,14,Prologue,Maester Cressen
443,"Morosh, The Myrman",M,A,,Morosh,,,The Myrman,A Clash of Kings,14,Prologue,Maester Cressen
444,"Melisandre, Of Asshai/Melony",F,A,,Melisandre,,,Of Asshai/Melony,A Clash of Kings,17,Prologue,Maester Cressen
445,Lord Ardrian Celtigar,M,A,Lord,Ardrian,Celtigar,,,A Clash of Kings,22,Prologue,Maester Cressen
446,Lord Monford Velaryon,M,D,Lord,Monford,Velaryon,,,A Clash of Kings,22,Prologue,Maester Cressen
447,Lord Duram Bar Emmon,M,A,Lord,Duram,Bar Emmon,,,A Clash of Kings,22,Prologue,Maester Cressen
448,Ser Axell Florent,M,A,Ser,Axell,Florent,,,A Clash of Kings,22,Prologue,Maester Cressen
449,Lord Guncer Sunglass,M,D,Lord,Guncer,Sunglass,,,A Clash of Kings,22,Prologue,Maester Cressen
450,"Lommy, Greenhands",M,D,,Lommy,,,Greenhands,A Clash of Kings,27,Arya I,Arya Stark
451,Hot Pie,M,A,,Hot Pie,,,,A Clash of Kings,28,Arya I,Arya Stark
452,Lollys Stokeworth,F,A,,Lollys,Stokeworth,,,A Clash of Kings,36,Sansa I,Sansa Stark
453,Falyse Stokeworth,F,D,,Falyse,Stokeworth,,,A Clash of Kings,36,Sansa I,Sansa Stark
454,Lady Ermesande Hayford,F,A,Lady,Ermesande,Hayford,,,A Clash of Kings,36,Sansa I,Sansa Stark
455,Morros Slynt,M,A,,Morros,Slynt,,,A Clash of Kings,39,Sansa I,Sansa Stark
456,Captain Vylarr,M,A,Captain,Vylarr,,,,A Clash of Kings,55,Tyrion I,Tyrion Lannister
457,"Walder Frey, Big Walder/Son of Jammos",M,A,,Walder,Frey,,Big Walder/Son of Jammos,A Clash of Kings,63,Bran I,Bran Stark
458,"Walder Frey, Little Walder/Son of Merrett",M,D,,Walder,Frey,,Little Walder/Son of Merrett,A Clash of Kings,63,Bran I,Bran Stark
459,Hayhead,M,U,,Hayhead,,,,A Clash of Kings,66,Bran I,Bran Stark
460,Alebelly,M,D,,Alebelly,,,,A Clash of Kings,67,Bran I,Bran Stark
461,Ser Jammos Frey,M,A,Ser,Jammos,Frey,,,A Clash of Kings,68,Bran I,Bran Stark
462,Merrett Frey,M,D,,Merrett,Frey,,,A Clash of Kings,68,Bran I,Bran Stark
463,"Walder Frey, Black Walder/Son of Ryman",M,A,,Walder,Frey,,Black Walder/Son of Ryman,A Clash of Kings,69,Bran I,Bran Stark
464,"Walder Frey, Red Walder/Son of Emmon",M,A,,Walder,Frey,,Red Walder/Son of Emmon,A Clash of Kings,69,Bran I,Bran Stark
465,"Walder Rivers, Bastard Walder",M,A,,Walder,Rivers,,Bastard Walder,A Clash of Kings,69,Bran I,Bran Stark
466,"Waltyr Frey, Tyr",M,A,,Waltyr,Frey,,Tyr,A Clash of Kings,69,Bran I,Bran Stark
467,Turnip,M,A,,Turnip,,,,A Clash of Kings,69,Bran I,Bran Stark
468,Bandy,F,A,,Bandy,,,,A Clash of Kings,69,Bran I,Bran Stark
469,Shyra,F,A,,Shyra,,,,A Clash of Kings,69,Bran I,Bran Stark
470,"Palla, The kennel girl",F,A,,Palla,,,The kennel girl,A Clash of Kings,69,Bran I,Bran Stark
471,Calon,M,U,,Calon,,,,A Clash of Kings,69,Bran I,Bran Stark
472,"TomToo, Son of Tomard",M,U,,TomToo,,,Son of Tomard,A Clash of Kings,69,Bran I,Bran Stark
473,Praed,M,D,,Praed,,,,A Clash of Kings,74,Arya II,Arya Stark
474,Tarber,M,U,,Tarber,,,,A Clash of Kings,74,Arya II,Arya Stark
475,Ser Malcolm,M,U,Ser,Malcolm,,,,A Clash of Kings,75,Arya II,Arya Stark
476,Lync,M,U,,Lync,,,,A Clash of Kings,75,Arya II,Arya Stark
477,Hod,M,A,,Hod,,,,A Clash of Kings,76,Arya II,Arya Stark
478,Lord William Mooton,M,A,Lord,William,Mooton,,,A Clash of Kings,76,Arya II,Arya Stark
479,Jaqen H'ghar,M,A,,Jaqen,H'ghar,,,A Clash of Kings,78,Arya II,Arya Stark
480,Rorge,M,D,,Rorge,,,,A Clash of Kings,78,Arya II,Arya Stark
481,Biter,M,D,,Biter,,,,A Clash of Kings,78,Arya II,Arya Stark
482,Reysen,M,D,,Reysen,,,,A Clash of Kings,80,Arya II,Arya Stark
483,Cutjack,M,U,,Cutjack,,,,A Clash of Kings,81,Arya II,Arya Stark
484,Kurz,M,D,,Kurz,,,,A Clash of Kings,81,Arya II,Arya Stark
485,Koss,M,D,,Koss,,,,A Clash of Kings,81,Arya II,Arya Stark
486,Dobber,M,D,,Dobber,,,,A Clash of Kings,81,Arya II,Arya Stark
487,Redwyn,M,D,,Redwyn,,,,A Clash of Kings,85,Jon I,Jon Snow
488,King Dorren Stark,M,D,King,Dorren,Stark,,,A Clash of Kings,85,Jon I,Jon Snow
489,Conwy,M,A,,Conwy,,,,A Clash of Kings,88,Jon I,Jon Snow
490,Thoren Smallwood,M,D,,Thoren,Smallwood,,,A Clash of Kings,90,Jon I,Jon Snow
491,Ser Arnell,M,U,Ser,Arnell,,,,A Clash of Kings,92,Jon I,Jon Snow
492,"Prince Aerion Targaryen, Brightflame/Aerion the Monstrous",M,D,Prince,Aerion,Targaryen,,Brightflame/Aerion the Monstrous,A Clash of Kings,94,Jon I,Jon Snow
493,Ser Burton Crakehall,M,D,Ser,Burton,Crakehall,,,A Clash of Kings,106,Catelyn I,Catelyn Tully
494,Hendry Bracken,M,D,,Hendry,Bracken,,,A Clash of Kings,107,Catelyn I,Catelyn Tully
495,Allar Deem,M,D,,Allar,Deem,,,A Clash of Kings,112,Tyrion II,Tyrion Lannister
496,Ser Jacelyn Bywater,M,D,Ser,Jacelyn,Bywater,,,A Clash of Kings,112,Tyrion II,Tyrion Lannister
497,Murch,M,D,,Murch,,,,A Clash of Kings,128,Arya III,Arya Stark
498,Allard Seaworth,M,D,,Allard,Seaworth,,,A Clash of Kings,132,Davos I,Davos Seaworth
